name,address1,address2,address3,borough_code,borough_name,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,longitude,latitude,easting,northing,runtime,classification,formatted_address,name,place_id,rating,types,user_ratings_total
Rose Theatre,24-26 High Street,,,E09000021,Kingston upon Thames,128029778.0,E05000408,Grove,http://www.rosetheatrekingston.org,-0.30759420135686405,51.408643104377425,517803.967971867,169093.9268650985,12/29/2019,dance,"24-26 High St, Kingston upon Thames KT1 1HL, United Kingdom",Rose Theatre,ChIJFQAZS74LdkgR8WxjQIye1Wo,4.5,"['point_of_interest', 'establishment']",911.0
Greenwich Theatre,3 Crooms Hill,,,E09000011,Greenwich,10010200382.0,E05000222,Greenwich West,,-0.007621807575506634,51.47946415067321,538451.1823586372,177493.61458215327,12/29/2019,dance,"Crooms Hill, Greenwich, London SE10 8ES, United Kingdom",Greenwich Theatre,ChIJBcZStYYCdkgRbGwodJGRLfQ,4.5,"['point_of_interest', 'establishment']",392.0
Alexandra Palace,33 Alexandra Palace Way,,,E09000014,Haringey,10003974918.0,E05000266,Alexandra,http://www.alexandrapalace.com,-0.13050142940269552,51.594483473511886,529591.9647652127,190058.9211693263,12/29/2019,dance,"Alexandra Palace Way, London N22 7AY, United Kingdom",Alexandra Palace,ChIJzacQU9cbdkgReQhGeXtnOJo,4.6,"['tourist_attraction', 'point_of_interest', 'establishment']",12599.0
Apollo Victoria Theatre,17 Wilton Rd,,,E09000033,City of Westminster,100023340605.0,E05000647,Warwick,http://www.apollovictoriatheatre.org/about-us/,-0.14265442390651825,51.49577575884147,529028.9649170912,179060.92415664773,12/29/2019,dance,"17 Wilton Rd, Pimlico, London SW1V 1LG, United Kingdom",Apollo Victoria Theatre,ChIJm9UxPyAFdkgRW0jjQm-y4_s,4.6,"['point_of_interest', 'establishment']",9010.0
The Arc Theatre,14 Austin Friars,,,E09000001,City and County of the City of London,95513019.0,E05009295,Broad Street,http://www.arctheatre.com,-0.08566234443244887,51.515929805308474,532926.2338605669,181403.97352217184,12/29/2019,dance,,,,,,
Barbican Centre Theatre,1C Silk St,,,E09000001,City and County of the City of London,95512045.0,E05009302,Cripplegate,http://www.barbican.org.uk,-0.09410684626769432,51.51996230660304,532328.6640219691,181837.0934034716,12/29/2019,dance,"Silk St, Barbican, London EC2Y 8DS, United Kingdom",Barbican Centre,ChIJdbJk-1YbdkgRQB_SdWbiVsc,4.5,"['art_gallery', 'movie_theater', 'library', 'tourist_attraction', 'point_of_interest', 'establishment']",1357.0
Barons Court Theatre,28a Comeragh Road,,,E09000013,Hammersmith and Fulham,34128758.0,E05000258,North End,http://www.offwestend.com/index.php/theatres/view/42,-0.20949081488484225,51.48943219347189,524406.966175689,178239.9243801625,12/29/2019,dance,"28a Comeragh Rd, Hammersmith, London W14 9HR, United Kingdom",Barons Court Theatre,ChIJ57y0-pUPdkgRIdzS8OCDMmU,4.1,"['bar', 'point_of_interest', 'establishment']",56.0
Bloomsbury Theatre,15 Gordon Street,,,E09000007,Camden,5007085.0,E05000129,Bloomsbury,https://www.doylecollection.com/hotels/the-bloomsbury-hotel?utm_source=google&utm_caÃÃÂª,-0.13275478855025438,51.52506973057769,529632.9647562194,182335.92326882802,12/29/2019,dance,"15 Gordon St, Kings Cross, London WC1H 0AH, United Kingdom",Bloomsbury Theatre and Studio,ChIJW03DYi8bdkgRs9psG8DY254,4.4,"['point_of_interest', 'establishment']",60.0
Brady Arts & Community Centre,192-196 Hanbury Street,,,E09000030,Tower Hamlets,6011121.0,E05009333,Spitalfields & Banglatown,http://www.towerhamletsarts.org.uk/?s=3&v=15&guide=AllAges,-0.06536854289329683,51.519417988751975,534323.9634794084,181828.92340608282,12/29/2019,dance,"Brady Arts District, Tulsa, OK, USA",Brady Arts District,ChIJmSlsMp3rtocRYQpPwWgmL_U,,"['neighborhood', 'political']",
Bread and Roses,68 Clapham Manor St,,,E09000022,Lambeth,100021824058.0,E05000419,Clapham Town,https://www.breadandrosestheatre.co.uk,-0.1365403514061712,51.465868049389755,529537.96478213,175745.92505708727,12/29/2019,dance,"68 Clapham Manor St, Clapham Town, London SW4 6DZ, United Kingdom",The Bread & Roses,ChIJJ_K-uFMEdkgRXGHvRYp6eJQ,4.3,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",283.0
Broadway Theatre,1 Clockhouse Avenue,,,E09000002,Barking and Dagenham,100058301.0,E05000026,Abbey,http://www.thebroadwaybarking.com/sales,0.0780442418089448,51.535669301372614,544221.9607901482,183908.9228384691,12/29/2019,dance,"Clockhouse Ave, Barking, UK",Clockhouse Ave,ChIJa0bEzmym2EcRCGjaj0_worw,,['route'],
Cadogan Hall,5 Sloane Terrace,,,E09000020,Kensington and Chelsea,217078765.0,E05009403,Royal Hospital,http://www.cadoganhall.com,-0.15726787385942506,51.49386601372175,528019.9651915696,178822.9242222689,12/29/2019,dance,"5 Sloane Terrace, Belgravia, London SW1X 9DQ, United Kingdom",Cadogan Hall,ChIJlYVYHBYFdkgRs_jgidWG13o,4.6,"['point_of_interest', 'establishment']",1605.0
Cambridge Theatre,31 Earlham St,,,E09000007,Camden,5089373.0,E05000138,Holborn and Covent Garden,https://www.cambridgeartstheatre.com,-0.12638182362667552,51.51351138572916,530107.9646249189,181061.92361210554,12/29/2019,dance,"Earlham St, London WC2H 9HU, United Kingdom",Cambridge Theatre,ChIJ059kIs0EdkgRAbuyqaAavxU,4.6,"['tourist_attraction', 'point_of_interest', 'establishment']",2758.0
Canal Cafe Theatre,13 Westbourne Terrace Rd,,,E09000033,City of Westminster,100022819209.0,E05000648,Westbourne,https://canalcafetheatre.com/contact,-0.18423636518372952,51.52103081817106,526072.9657218339,181796.92341363832,12/29/2019,dance,"13 Westbourne Terrace Rd, London W2 6NG, United Kingdom",Canal Cafe Theatre,ChIJPXkOfKkadkgRu1wAQQ6Zurg,4.5,"['point_of_interest', 'establishment']",154.0
Charing Cross Theatre,9 Villiers Street,,,E09000033,City of Westminster,10033582545.0,E05000644,St. James's,http://www.charingcrosstheatre.co.uk,-0.12409696345269702,51.508088217010574,530281.9645774504,180462.92377475466,12/29/2019,dance,"The Arches, Villiers St, Charing Cross, London WC2N 6NL, United Kingdom",Charing Cross Theatre,ChIJ8aEpxc4EdkgR7_DObwfktsM,4.5,"['point_of_interest', 'establishment']",276.0
Palace Theatre,29 Greek St,,,E09000033,City of Westminster,10033553103.0,E05000649,West End,,-0.12962760222082895,51.513086569162425,529883.9646858313,181008.92362703747,12/29/2019,dance,"113 Shaftesbury Ave, Soho, London W1D 5AY, United Kingdom",Palace Theatre,ChIJYxVJmtIEdkgRSFNK6hLhPvQ,4.6,"['point_of_interest', 'establishment']",5208.0
