name,address1,address2,address3,borough_code,borough_name,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,longitude,latitude,easting,northing,runtime,classification,formatted_address,name,place_id,rating,types,user_ratings_total
Domobaal,3 John Street,,,E09000007,Camden,10091862142.0,E05000138,Holborn and Covent Garden,http://www.domobaal.com/#,-0.11470489319664907,51.52160662923071,530894.9645348528,181982.92348422023,12/29/2019,galleries,"3 John St, Holborn, London WC1N 2ES, United Kingdom",DOMOBAAL,ChIJ8VGhoUkbdkgR8WAWa6jE4RU,5.0,"['art_gallery', 'point_of_interest', 'establishment']",1.0
Eagle Gallery,159 Farringdon Road,,,E09000019,Islington,5300033028.0,E05000370,Clerkenwell,http://www.emmahilleagle.com/#,-0.10975562584639502,51.52416186295282,531230.9644439578,182275.92340599906,12/29/2019,galleries,"159 Farringdon Rd, Farringdon, London EC1R 3AL, United Kingdom",Eagle Gallery,ChIJh9q2bE8bdkgRog1jx3YjhGY,4.2,"['art_gallery', 'point_of_interest', 'establishment']",6.0
Work,308 Essex Road,,,E09000019,Islington,10091003649.0,E05000369,Canonbury,http://workgallery.co.uk/#,-0.09135809100975388,51.54283831211358,532452.9641102117,184385.9228319464,12/29/2019,galleries,"308 Essex Rd, London N1 3AX, UK",308 Essex Rd,ChIJcbL7tJ0cdkgRfoBPuzIxi1Q,,['premise'],
Usurp,140 Vaughan Road,,,E09000015,Harrow,100021292207.0,E05000305,West Harrow,http://www.usurp.org.uk/exhibitions/#,-0.3493466961511721,51.5790458446606,514472.928960828,187977.31181003302,12/29/2019,galleries,"140 Vaughan Rd, Harrow HA1 4DD, United Kingdom",Usurp Art Space & Studios,ChIJd_NcamsTdkgRD5MoR7i0A-Y,4.5,"['art_gallery', 'point_of_interest', 'establishment']",2.0
Catto Gallery,100 Heath Street,,,E09000007,Camden,5010317.0,E05000135,Hampstead Town,http://www.cattogallery.co.uk/#,-0.1784591038914786,51.558503379913844,526369.9657628811,185973.9223995341,12/29/2019,galleries,"100 Heath St, Hampstead, London NW3 1DP, United Kingdom",Catto Gallery Ltd,ChIJVcZKEn0adkgR85NSSXNJMpo,4.7,"['art_gallery', 'tourist_attraction', 'point_of_interest', 'establishment']",21.0
Freespace Gallery,2 Bartholomew Road,,,E09000007,Camden,5021000.0,E05000131,Cantelowes,http://freespacegallery.org/#,-0.13992891340617622,51.546406486015826,529074.9650289959,184695.9227484079,12/29/2019,galleries,"Kentish Town Health Centre, 2 Bartholomew Rd, London NW5 2BX, United Kingdom",Free Space Project,ChIJ-0inSx0bdkgRih_9R4-cHOw,0.0,"['point_of_interest', 'establishment']",0.0
Orange Dot Gallery,54 Tavistock Place,,,E09000007,Camden,5030299.0,E05000129,Bloomsbury,http://www.orangedotgallery.co.uk/#,-0.12501847631165025,51.525647786351385,530167.9647332879,182413.92336844868,12/29/2019,galleries,"54 Tavistock Pl, Kings Cross, London WC1H 9RG, UK",54 Tavistock Pl,ChIJCV52dDobdkgRcqrZOX5vumY,,['street_address'],
Lawrence Alkin Gallery,42 New Compton Street,,,E09000007,Camden,5066491.0,E05000138,Holborn and Covent Garden,http://www.lawrencealkingallery.com/#,-0.12761469557415167,51.51542853824638,530016.964771571,181272.92367701442,12/29/2019,galleries,"42 New Compton St, London WC2H 8DA, United Kingdom",Rhodes Contemporary Art,ChIJ_x9RyDIbdkgR4YQhO_udTck,4.6,"['art_gallery', 'point_of_interest', 'establishment']",16.0
University of the Arts London Gallery,272 High Holborn,,,E09000007,Camden,5154466.0,E05000138,Holborn and Covent Garden,http://www.arts.ac.uk/gallery.htm#,-0.11636256637604248,51.51776637099261,530790.9645623658,181552.92360010263,12/29/2019,galleries,"272 High Holborn, Holborn, London WC1V 7EY, United Kingdom",University of the Arts London,ChIJ1TUjujUbdkgR5Rd30q8j7yY,4.0,"['university', 'point_of_interest', 'establishment']",110.0
Gallery K,101-103 Heath Street,,,E09000007,Camden,5082905.0,E05000135,Hampstead Town,http://www.gallery-k.co.uk/#,-0.1785914923759944,51.55916188807706,526358.9657658924,186046.92237965774,12/29/2019,galleries,"101-103 Heath St, Hampstead, London NW3 6SS, United Kingdom",Gallery K,ChIJ0Ym9G30adkgRAT5yh-hRS6k,0.0,"['point_of_interest', 'establishment']",0.0
