name,address1,address2,address3,borough_code,borough_name,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,longitude,latitude,easting,northing,runtime,classification,formatted_address,name,place_id,rating,types,user_ratings_total
Museum of Croydon,Central Library,Croydon Clocktower,Katharine Street,E09000008,Croydon,100022917682.0,E05011468,Fairfield,http://www.museumofcroydon.com/,-0.09951045254803667,51.37191054240017,532380.9641287995,165363.9280014406,12/29/2019,museums,"Katharine St, Croydon CR9 1ET, United Kingdom",Croydon Central Library,ChIJ15K8HjQHdkgRdVkcgKNqmQw,4.2,"['library', 'point_of_interest', 'establishment']",53.0
Museum of Writing,c/o Institute of English Studies,University of London Senate House,Malet Street,E09000007,Camden,5016035.0,E05000129,Bloomsbury,http://www.museumofwriting.co.uk/,-0.12869802265875455,51.520643623813584,529926.9647969569,181850.92352089816,12/29/2019,museums,,,,,,
The Foundling Museum,40 Brunswick Square,,,E09000007,Camden,5002560.0,E05000141,King's Cross,http://www.foundlingmuseum.org.uk/,-0.12164622262629594,51.5252701073732,530402.964669417,182377.92337760227,12/29/2019,museums,"40 Brunswick Square, Bloomsbury, London WC1N 1AZ, United Kingdom",The Foundling Museum,ChIJ3-M3YTcbdkgRGzQr8JQ8APE,4.4,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",502.0
Freud Museum,20 Maresfield Gardens,,,E09000007,Camden,5012934.0,E05000133,Frognal and Fitzjohns,https://www.freud.org.uk/,-0.17724635343508732,51.54842188893095,526481.9657331806,184854.9227054417,12/29/2019,museums,"20 Maresfield Gardens, London NW3 5SX, United Kingdom",Freud Museum London,ChIJyxFtboUadkgRb0RdlOrRsBs,4.6,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",859.0
Keats House,10 Keats Grove,Hampstead,,E09000007,Camden,5015415.0,E05000135,Hampstead Town,http://www.cityoflondon.gov.uk/keats,-0.1679301779810725,51.55556976060682,527107.9655625345,185665.92248556585,12/29/2019,museums,"10 Keats Grove, Hampstead, London NW3 2RR, United Kingdom",Keats House,ChIJmfOqXYoadkgRA-y2sMtXadM,4.5,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",261.0
British Museum,Great Russell Street,,,E09000007,Camden,5027059.0,E05000129,Bloomsbury,http://www.britishmuseum.org/,-0.12647475567723704,51.518971461112926,530085.964753409,181668.9235696554,12/29/2019,museums,"Great Russell St, Bloomsbury, London WC1B 3DG, United Kingdom",The British Museum,ChIJB9OTMDIbdkgRp0JWbQGZsS8,4.7,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",100284.0
2 Willow Road,Hampstead,,,E09000007,Camden,5032722.0,E05000135,Hampstead Town,https://www.nationaltrust.org.uk/2-willow-road,-0.16915010156707455,51.557162489166295,527018.9655857261,185840.92243757483,12/29/2019,museums,"2 Willow Road, Hampstead, London NW3 1TH, UK",2 Willow Road,ChIJKfsf3mEadkgRukGnLK1zOts,,['premise'],
British Library,96 Euston Road London,NW1 2DB ,,E09000007,Camden,5037737.0,E05000143,St. Pancras and Somers Town,http://www.bl.uk/,-0.12698835462812688,51.52998677143432,530018.9647743074,182892.9232379205,12/29/2019,museums,"96 Euston Rd, London NW1 2DB, United Kingdom",The British Library,ChIJlRMXcDsbdkgRJdsP3nlUkBg,4.5,"['library', 'tourist_attraction', 'point_of_interest', 'establishment']",1390.0
Burgh House and Hampstead Museum,New End Square,Hampstead,,E09000007,Camden,5067420.0,E05000135,Hampstead Town,www.burghhouse.org.uk/,-0.17506733926931314,51.55818089976963,526605.9656982652,185943.92240836265,12/29/2019,museums,"New End Square, Hampstead, London NW3 1LT, United Kingdom",Burgh House & Hampstead Museum,ChIJ7bDgv2IadkgRkIbzf3FdF5M,4.5,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",287.0
Royal College of Physicians of London Museum,Library Archive and Museum Services,11 St Andrews Place,Regentâs Park,E09000007,Camden,5069347.0,E05000142,Regent's Park,http://www.rcplondon.ac.uk/museum-and-garden,-0.1449807444509275,51.52574929212275,528782.9651070784,182389.92337416718,12/29/2019,museums,"11 St Andrews Pl, London NW1 4LE, United Kingdom",Royal College of Physicians,ChIJ7xIq4dkadkgRzlX3Emg8F-I,4.6,"['university', 'health', 'point_of_interest', 'establishment']",65.0
