name,address1,address2,address3,borough_code,borough_name,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,longitude,latitude,easting,northing,runtime,classification,formatted_address,name,place_id,rating,types,user_ratings_total
Moth Club,Hackney Trades Hall Valette Street,Hackney,,E09000012,HACKNEY,100023022302.0,E05009376,Homerton,www.mothclub.co.uk,-0.05442000694608362,51.545638954892596,535005.9632945792,184764.9226076908,12/29/2019,music,"Old Trades Hall, Valette St, London E9 6NU, United Kingdom",MOTH Club,ChIJ0yYfxOQcdkgRdfZT_zBt1cA,4.5,"['bar', 'point_of_interest', 'establishment']",439.0
Her Majesty's Theatre,Haymarket City Of Westminster,,,E09000033,CITY OF WESTMINSTER,100023349365.0,E05000644,St. James's,www.reallyusefultheatres.co.uk/our-theatres/her-majestys,-0.1320069295137484,51.50812452822598,529732.9647277478,180452.9237789666,12/29/2019,music,"Haymarket, St. James's, London SW1Y 4QL, United Kingdom",Her Majesty's Theatre,ChIJW58eotEEdkgRr6-cmS2kqCQ,4.6,"['point_of_interest', 'establishment']",7173.0
King's College,Strand City Of Westminster,,,E09000033,CITY OF WESTMINSTER,100022807697.0,E05000644,St. James's,,-0.11622738440764956,51.5116131543542,530817.9644314316,180868.92366342022,12/29/2019,music,"Strand, London WC2R 2LS, United Kingdom",King's College London,ChIJ3VW0o7UEdkgRjZLQfvs-ZLA,4.2,"['university', 'point_of_interest', 'establishment']",475.0
Peacock Theatre,Portugal Street City Of Westminster,,,E09000033,CITY OF WESTMINSTER,100023430213.0,E05000644,St. James's,www.peacocktheatre.com,-0.11799105536213672,51.51462705698138,530686.9644679044,181200.92357318965,12/29/2019,music,"Portugal St, Holborn, London WC2A 2HT, United Kingdom",Peacock Theatre,ChIJhUo6z0QbdkgRnZG8To2GlN8,4.4,"['point_of_interest', 'establishment']",1456.0
Picadilly Theatre,16 Denman Street,City Of Westminster,,E09000033,CITY OF WESTMINSTER,100023472891.0,E05000649,West End,www.piccadillytheatre.co.uk,-0.1353745720757855,51.51105578198978,529490.9647933327,180772.9236922916,12/29/2019,music,"16 Denman St, Soho, London W1D 7DY, United Kingdom",Piccadilly Theatre,ChIJZ98vDNQEdkgRJE51ZgjyTaE,4.5,"['point_of_interest', 'establishment']",2062.0
Queen's Theatre,51 Shaftesbury Avenue,City Of Westminster,,E09000033,CITY OF WESTMINSTER,100023472885.0,E05000649,West End,www.queenstheatre.co.uk,-0.13290016034380414,51.512005620985576,529659.9647470247,180882.92366190167,12/29/2019,music,"51 Shaftesbury Ave, Soho, London W1D 6BA, United Kingdom",Sondheim Theatre,ChIJP8z6ptMEdkgRf-6z_oMapZc,4.7,"['point_of_interest', 'establishment']",4377.0
Rays Jazz At Foyles,107 Charing Cross Road,City Of Westminster,,E09000033,CITY OF WESTMINSTER,100023431365.0,E05000649,West End,www.foyles.co.uk/events,-0.13022570225337593,51.51466983105579,529837.9646980478,181183.92357949185,12/29/2019,music,"107 Charing Cross Rd, Soho, London WC2H 0DT, United Kingdom",Rays Jazz At Foyles,ChIJNxsRstIEdkgRFxZHVQllGTE,4.2,"['book_store', 'electronics_store', 'home_goods_store', 'point_of_interest', 'store', 'establishment']",57.0
St. John's Concert Hall,Smith Square City Of Westminster,,,E09000033,CITY OF WESTMINSTER,100023339546.0,E05000644,St. James's,www.sjss.org.uk,-0.12693806802450375,51.49609235155317,530118.9646214752,179123.92413967926,12/29/2019,music,"Smith Square, Westminster, London SW1P 3HA, United Kingdom",St John's Smith Square,ChIJHT2Z5sIEdkgRjrJZLxTQEeE,4.5,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",536.0
Swan,Saracen House Swan Street,Hounslow,,E09000018,HOUNSLOW,100023407007.0,E05000362,Isleworth,www.swaninnisleworth.co.uk,-0.32281276861211994,51.4692819734679,516591.1683021082,175812.92503809946,12/29/2019,music,"Swan St, London, UK",Swan St,ChIJG_-bU6cEdkgR_Q0eRidSJcE,,['route'],
The Albany,Albany Centre & Theatre Douglas Way,Lewisham,,E09000023,LEWISHAM,100023280903.0,E05000449,New Cross,www.thealbany.org.uk,-0.02634702327099309,51.477463523260276,537156.9627085035,177235.92465235898,12/29/2019,music,"4 Victoria St, St Albans AL1 3JD, United Kingdom",The Albany Centre,ChIJD6egAiQ_dkgRhZuJNeByCds,0.0,"['health', 'point_of_interest', 'establishment']",0.0
Fire,Arch 39-43 Parry Street,Lambeth,,E09000022,LAMBETH,100023383445.0,E05000426,Oval,www.firelondon.net/,-0.12378892078627918,51.484720185172655,530369.9645537378,177864.92448238886,12/29/2019,music,"39 Parry St, Vauxhall, London SW8 1RT, United Kingdom",Vauxhall Arches,ChIJnSXpEe4EdkgRz80-5a0AhyU,3.5,"['point_of_interest', 'establishment']",4.0
