name,address1,address2,address3,borough_code,borough_name,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,longitude,latitude,easting,northing,runtime,classification,formatted_address,name,place_id,rating,types,user_ratings_total
Troubadour Wembley Park Theatre,Fulton Road,,,,,,,,,-0.2817884536759514,51.56085053698574,519201.3516905481,186061.6633533293,12/29/2019,theatres,"3 Fulton Rd, Wembley HA9 0SP, United Kingdom",Troubadour Wembley Park Theatre,ChIJt1tI0ZcRdkgRY71kqlLf7Vs,4.5,"['point_of_interest', 'establishment']",345.0
"Assembly Rooms, Surbiton",138 Maple Road, Surbiton,,E09000021,Kingston upon Thames,128012933.0,E05000408,Grove,,-0.3084259634104032,51.39623937278533,517777.9093782818,167713.3055407884,12/29/2019,theatres,"138 Maple Rd, Surbiton KT6 4RT, United Kingdom",Surbiton High School Assembly Rooms,ChIJ5zklesgLdkgRKhLVg4GF_Yc,3.9,"['school', 'point_of_interest', 'establishment']",16.0
George Wood Theatre ,Goldsmith's College, University of London,,E09000023,Lewisham,100023000000.0,E05000449,New Cross,,-0.03771247917133249,51.47568861221421,536373.0467212389,177017.33281134235,12/29/2019,theatres,"25 Laurie Grove, New Cross, London SE14 6NL, United Kingdom",George Wood Theatre,ChIJ0Rqta_gCdkgRUZogxk_l0dk,5.0,"['point_of_interest', 'establishment']",1.0
Greenwich & Lewisham Young People's Theatre,The Tramshed, 51-53 Woolwich New Road,,E09000011,Greenwich,100023000000.0,E05000230,Woolwich Riverside,http://www.glypt.co.uk/,0.06639307894119999,51.4900129270785,543557.3260680145,178809.08852427657,12/29/2019,theatres,"Greenwich, London, UK",Greenwich,ChIJ83WZp86p2EcRbMrkYqGncBQ,,"['neighborhood', 'political']",
Piccadilly Theatre,16 Denman St, Soho,,E09000033,City of Westminster,100023000000.0,E05000649,West End,https://www.piccadillytheatre.org/,-0.13698033213759486,51.51156528850338,529378.1003236996,180826.74397775275,12/29/2019,theatres,"16 Denman St, Soho, London W1D 7DY, United Kingdom",Piccadilly Theatre,ChIJZ98vDNQEdkgRJE51ZgjyTaE,4.5,"['point_of_interest', 'establishment']",2062.0
Bacon's College Theatre,Timber Pond Road, Rotherhithe,,E09000028,Southwark,200003000000.0,E05011112,Rotherhithe,,-0.04386252398093959,51.502875561798646,535865.1417606332,180029.06589419467,12/29/2019,theatres,"Timber Pond Rd, Rotherhithe, London SE16 6AT, United Kingdom",Bacon's College,ChIJGRH-hdkCdkgRDGxFTszyUfY,2.6,"['university', 'point_of_interest', 'establishment']",62.0
Courtyard Theatre,40 Pitfield Street,,,E09000012,Hackney,10091002509.0,E05009378,Hoxton West,,-0.08496288918437335,51.528389742099286,532938.4817561687,182790.80704321602,12/29/2019,theatres,"40 Pitfield St, London N1 6EU, United Kingdom","Courtyard Theatre, London",ChIJfeOXKqUcdkgRKSb_nXH0G7o,3.9,"['bar', 'point_of_interest', 'establishment']",139.0
Dugdale Arts Centre,39 London Road, Enfield,,E09000010,Enfield,207007119.0,E05000200,Grange,https://www.dugdalecentre.co.uk/,-0.08231178294641245,51.65033224944441,532766.6298036426,196356.0337556316,12/29/2019,theatres,"39 London Rd, London, Enfield EN2 6DS, United Kingdom",Dugdale Centre,ChIJQ-O9rSUfdkgRI5GV4hEsqhc,4.2,"['point_of_interest', 'establishment']",289.0
Bloomsbury Theatre,15 Gordon St, Bloomsbury,,E09000007,Camden,5007085.0,E05000129,Bloomsbury,https://www.thebloomsbury.com/,-0.1345818622860995,51.52583300840003,529504.0604914414,182417.5686470281,12/29/2019,theatres,"15 Gordon St, Kings Cross, London WC1H 0AH, United Kingdom",Bloomsbury Theatre and Studio,ChIJW03DYi8bdkgRs9psG8DY254,4.4,"['point_of_interest', 'establishment']",60.0
Etcetera Theatre,265 Camden High St,,,E09000007,Camden,5007472.0,E05000130,Camden Town with Primrose Hill,http://www.etceteratheatre.com/,-0.14555410827825085,51.54065446198819,528701.1626091765,184046.38960208112,12/29/2019,theatres,"above the Oxford Arms, 265 Camden High St, London NW1 7BU, United Kingdom",The Etcetera Theatre,ChIJP__LeeEadkgRnTTyqhHWQl8,4.3,"['point_of_interest', 'establishment']",99.0
